,Neighborhood_Latitude,Neighborhood_Longitude,indian_Venue,indian_Venue_Latitude,indian_Venue_Longitude,Distance,Venue_Category,neigh_lat_lon
138,28.57832603,77.19525886,Amar Jyoti Restaurant,28.57741729,77.1966613,170,Indian Restaurant,28.57832602557771-77.19525886038512
139,28.57832603,77.19525886,Rang De Basanti Dhaba,28.57602268,77.19504976,257,Indian Restaurant,28.57832602557771-77.19525886038512
140,28.57822665,77.20138976,Amar Jyoti Restaurant,28.57741729,77.1966613,470,Indian Restaurant,28.578226647641788-77.20138975771545
141,28.57822665,77.20138976,rasoi Plaza,28.57807527,77.19642546,485,Indian Restaurant,28.578226647641788-77.20138975771545
142,28.57812699,77.20752062,Appus Hotel,28.575048,77.21011,426,Indian Restaurant,28.578126993003085-77.20752062395592
143,28.57812699,77.20752062,dilli o dilli,28.57969691,77.21160205,435,Indian Restaurant,28.578126993003085-77.20752062395592
144,28.57812699,77.20752062,Dosa Junction,28.5771748,77.21052971,312,South Indian Restaurant,28.578126993003085-77.20752062395592
145,28.57802706,77.21365146,dilli o dilli,28.57969691,77.21160205,273,Indian Restaurant,28.578027061666777-77.2136514590202
146,28.57802706,77.21365146,Appus Hotel,28.575048,77.21011,479,Indian Restaurant,28.578027061666777-77.2136514590202
147,28.57802706,77.21365146,Dosa Junction,28.5771748,77.21052971,319,South Indian Restaurant,28.578027061666777-77.2136514590202
148,28.57792685,77.21978226,Chidambaram's New Madras Hotel,28.58065747,77.22094271,324,Indian Restaurant,28.57792685363805-77.219782262822
149,28.57792685,77.21978226,Chidambaram's,28.58076286,77.22097015,336,Indian Restaurant,28.57792685363805-77.219782262822
150,28.57782637,77.22591304,New Madras Hotel,28.58000454,77.22435158,286,Indian Restaurant,28.57782636892211-77.22591303527498
151,28.57772561,77.23204378,Colonel's Kababz,28.57400875,77.23048985,440,Indian Restaurant,28.57772560752417-77.23204377629285
152,28.57772561,77.23204378,Liquid Kitchen,28.57390699,77.230313,457,Indian Restaurant,28.57772560752417-77.23204377629285
153,28.57772561,77.23204378,Salim Kababs Khan Market Wale,28.57395961,77.22975751,475,Indian Restaurant,28.57772560752417-77.23204377629285
154,28.57772561,77.23204378,"Moti Mahal Delux, Defence Colony",28.57359984,77.23015045,495,Indian Restaurant,28.57772560752417-77.23204377629285
155,28.57772561,77.23204378,Kathputli,28.573695,77.23027,481,Rajasthani Restaurant,28.57772560752417-77.23204377629285
156,28.57762457,77.23817449,Saleem's,28.577576,77.23819,5,Indian Restaurant,28.577624569449465-77.23817448578932
157,28.57762457,77.23817449,Deez Biryani,28.57713221,77.23843004,60,Indian Restaurant,28.577624569449465-77.23817448578932
158,28.57762457,77.23817449,Mazaar,28.57689506,77.2420841,390,Indian Restaurant,28.577624569449465-77.23817448578932
159,28.57762457,77.23817449,Anandji Chole Bhature,28.5752,77.2413,407,Indian Restaurant,28.577624569449465-77.23817448578932
160,28.57752325,77.24430516,Mazaar,28.57689506,77.2420841,228,Indian Restaurant,28.57752325470323-77.24430516367804
161,28.57752325,77.24430516,Wah Ji Wah,28.57510672,77.24316739,291,Indian Restaurant,28.57752325470323-77.24430516367804
162,28.57752325,77.24430516,KiTchen Khurana,28.57879885,77.24069771,380,Indian Restaurant,28.57752325470323-77.24430516367804
163,28.57752325,77.24430516,Anandji Chole Bhature,28.5752,77.2413,391,Indian Restaurant,28.57752325470323-77.24430516367804
164,28.57752325,77.24430516,hunger,28.57518196,77.24288177,295,North Indian Restaurant,28.57752325470323-77.24430516367804
165,28.57742166,77.25043581,Other country food,28.5805785,77.25010468,352,Indian Restaurant,28.577421663290743-77.25043580987274
166,28.57721765,77.26269701,haldirams,28.5781643,77.2629679,108,Indian Restaurant,28.57721765048809-77.26269700683484
167,28.58316147,77.18615942,The Potbelly,28.58379635,77.18782846,177,Indian Restaurant,28.583161468630028-77.18615942259304
168,28.58316147,77.18615942,Jamavar Kashmiri Restaurant @ The Leela,28.58014279,77.18926702,452,Indian Restaurant,28.583161468630028-77.18615942259304
169,28.58316147,77.18615942,Tamil Nadu House Canteen,28.58311193,77.19103326,476,Indian Restaurant,28.583161468630028-77.18615942259304
170,28.58316147,77.18615942,The Leela Palace,28.57992321,77.1892907,472,Hotel,28.583161468630028-77.18615942259304
171,28.58316147,77.18615942,The Qube,28.58016234,77.18927013,451,Breakfast Spot,28.583161468630028-77.18615942259304
172,28.58306249,77.19229064,Jamavar Kashmiri Restaurant @ The Leela,28.58014279,77.18926702,439,Indian Restaurant,28.58306248657739-77.19229063781384
173,28.58306249,77.19229064,Tamil Nadu House Canteen,28.58311193,77.19103326,123,Indian Restaurant,28.58306248657739-77.19229063781384
174,28.58306249,77.19229064,Bikanervala,28.58539416,77.19142817,272,Indian Restaurant,28.58306248657739-77.19229063781384
175,28.58306249,77.19229064,The Potbelly,28.58379635,77.18782846,443,Indian Restaurant,28.58306248657739-77.19229063781384
176,28.58306249,77.19229064,The Leela Palace,28.57992321,77.1892907,456,Hotel,28.58306248657739-77.19229063781384
177,28.58306249,77.19229064,Yashwant Place,28.58432886,77.1917087,152,Indian Restaurant,28.58306248657739-77.19229063781384
178,28.58306249,77.19229064,Chimney Sizzlers,28.58425712,77.19172105,144,Chinese Restaurant,28.58306248657739-77.19229063781384
179,28.58306249,77.19229064,The Qube,28.58016234,77.18927013,437,Breakfast Spot,28.58306248657739-77.19229063781384
180,28.58296323,77.19842182,Amber Restaurant,28.582893,77.20227,376,Indian Restaurant,28.582963227760636-77.19842182206845
181,28.58296323,77.19842182,Sagar Restaurant,28.582952,77.20235,383,Indian Restaurant,28.582963227760636-77.19842182206845
182,28.58286369,77.20455298,Sagar Restaurant,28.582952,77.20235,215,Indian Restaurant,28.58286369218491-77.20455297527052
183,28.58286369,77.20455298,Amber Restaurant,28.582893,77.20227,223,Indian Restaurant,28.58286369218491-77.20455297527052
184,28.58276388,77.2106841,dilli o dilli,28.57969691,77.21160205,353,Indian Restaurant,28.58276387985541-77.21068409733371
185,28.58266379,77.21681519,Chidambaram's New Madras Hotel,28.58065747,77.22094271,461,Indian Restaurant,28.5826637907773-77.21681518817171
186,28.58266379,77.21681519,Hot Chimney,28.58370161,77.22057434,385,Indian Restaurant,28.5826637907773-77.21681518817171
187,28.58266379,77.21681519,Chidambaram's,28.58076286,77.22097015,457,Indian Restaurant,28.5826637907773-77.21681518817171
188,28.58256342,77.22294625,Chidambaram's New Madras Hotel,28.58065747,77.22094271,288,Indian Restaurant,28.58256342495577-77.22294624769816
189,28.58256342,77.22294625,Hot Chimney,28.58370161,77.22057434,264,Indian Restaurant,28.58256342495577-77.22294624769816
190,28.58256342,77.22294625,Jamun,28.584576,77.223303,226,Indian Restaurant,28.58256342495577-77.22294624769816
191,28.58256342,77.22294625,Chidambaram's,28.58076286,77.22097015,278,Indian Restaurant,28.58256342495577-77.22294624769816
192,28.58256342,77.22294625,Anna Muthulaxmi,28.58226063,77.2274065,437,Indian Restaurant,28.58256342495577-77.22294624769816
193,28.58256342,77.22294625,Carnatic Cafe,28.583904,77.2267,396,South Indian Restaurant,28.58256342495577-77.22294624769816
194,28.58246278,77.22907728,Anna Muthulaxmi,28.58226063,77.2274065,164,Indian Restaurant,28.582462782396057-77.22907727582675
195,28.58246278,77.22907728,tikka town,28.58622117,77.22647918,489,Indian Restaurant,28.582462782396057-77.22907727582675
196,28.58246278,77.22907728,Carnatic Cafe,28.583904,77.2267,282,South Indian Restaurant,28.582462782396057-77.22907727582675
197,28.58236186,77.23520827,Ambersari,28.57989317,77.23899135,460,Indian Restaurant,28.582361863103365-77.23520827247116
198,28.58226067,77.24133924,Ambersari,28.57989317,77.23899135,349,Indian Restaurant,28.58226066708294-77.24133923754503
199,28.58226067,77.24133924,KiTchen Khurana,28.57879885,77.24069771,390,Indian Restaurant,28.58226066708294-77.24133923754503
200,28.58215919,77.24747017,Papu Kachori Pakode,28.58260749,77.24972303,225,Indian Restaurant,28.58215919434004-77.2474701709621
201,28.58215919,77.24747017,Vatika Grand,28.58412826,77.24849388,240,Indian Restaurant,28.58215919434004-77.2474701709621
202,28.58215919,77.24747017,"Bhashi Restaurant, Mathura Road",28.5819854,77.25046388,293,Indian Restaurant,28.58215919434004-77.2474701709621
203,28.58215919,77.24747017,Other country food,28.5805785,77.25010468,311,Indian Restaurant,28.58215919434004-77.2474701709621
204,28.58215919,77.24747017,Hyderabad House,28.58360197,77.24973426,273,Hyderabadi Restaurant,28.58215919434004-77.2474701709621
205,28.58205744,77.25360107,"Bhashi Restaurant, Mathura Road",28.5819854,77.25046388,306,Indian Restaurant,28.582057444879933-77.253601072636
206,28.58205744,77.25360107,Papu Kachori Pakode,28.58260749,77.24972303,384,Indian Restaurant,28.582057444879933-77.253601072636
207,28.58205744,77.25360107,Other country food,28.5805785,77.25010468,379,Indian Restaurant,28.582057444879933-77.253601072636
208,28.58205744,77.25360107,Hyderabad House,28.58360197,77.24973426,415,Hyderabadi Restaurant,28.582057444879933-77.253601072636
209,28.58195542,77.25973194,Haldirams,28.5843049,77.26190724,337,Indian Restaurant,28.581955418707903-77.25973194248043
210,28.58185312,77.26586278,Haldirams,28.5843049,77.26190724,473,Indian Restaurant,28.581853115829244-77.2658627804091
211,28.58185312,77.26586278,haldirams,28.5781643,77.2629679,498,Indian Restaurant,28.581853115829244-77.2658627804091
212,28.58779889,77.18932216,Bikanervala,28.58539416,77.19142817,337,Indian Restaurant,28.587798894051133-77.18932215927863
213,28.58779889,77.18932216,The Potbelly,28.58379635,77.18782846,468,Indian Restaurant,28.587798894051133-77.18932215927863
214,28.58779889,77.18932216,Yashwant Place,28.58432886,77.1917087,451,Indian Restaurant,28.587798894051133-77.18932215927863
215,28.58779889,77.18932216,Chimney Sizzlers,28.58425712,77.19172105,458,Chinese Restaurant,28.587798894051133-77.18932215927863
216,28.58769975,77.19545363,Bikanervala,28.58539416,77.19142817,469,Indian Restaurant,28.58769975440676-77.19545363050652
217,28.58730043,77.2199792,Hot Chimney,28.58370161,77.22057434,404,Indian Restaurant,28.587300427729605-77.21997920440258
218,28.58730043,77.2199792,Jamun,28.584576,77.223303,444,Indian Restaurant,28.587300427729605-77.21997920440258
