Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
28.57772561,77.23204378,Cafe WTF,28.57356622,77.23047042,Café
28.57762457,77.23817449,Concept Shawarma,28.57828012,77.23889593,Fast Food Restaurant
28.57762457,77.23817449,Diva Kitsch,28.57497541,77.23819429,Asian Restaurant
28.57762457,77.23817449,Mazaar,28.57689506,77.2420841,Indian Restaurant
28.57762457,77.23817449,Anandji Chole Bhature,28.5752,77.2413,Indian Restaurant
28.57762457,77.23817449,Hawkers House,28.5811154,77.24102326,Sandwich Place
28.57752325,77.24430516,Chi Kitchen & Bar,28.58138063,77.24199991,Chinese Restaurant
28.57752325,77.24430516,McDonald's,28.58130129,77.24183006,Fast Food Restaurant
28.57752325,77.24430516,Barbeque Nation,28.58129432,77.24202919,BBQ Joint
28.57752325,77.24430516,Mazaar,28.57689506,77.2420841,Indian Restaurant
28.57752325,77.24430516,Arab Street,28.58020582,77.24238159,Snack Place
28.57752325,77.24430516,Anandji Chole Bhature,28.5752,77.2413,Indian Restaurant
28.57752325,77.24430516,Mughal Restaurant,28.58128118,77.24270714,Food
28.57742166,77.25043581,Birju Dhaba,28.579546,77.247837,Diner
28.57742166,77.25043581,Other country food,28.5805785,77.25010468,Fast Food Restaurant
28.57742166,77.25043581,Chinese Food Corner,28.57987595,77.24717712,Chinese Restaurant
28.57742166,77.25043581,Golconda Bowl,28.58066733,77.2539043,Asian Restaurant
28.5773198,77.25656642,Angels In My Kitchen,28.57488569,77.25858721,Bakery
28.5773198,77.25656642,Golconda Bowl,28.58066733,77.2539043,Asian Restaurant
28.57721765,77.26269701,"CCD, New Friends Colony",28.57629437,77.26303524,Café
28.57721765,77.26269701,haldirams,28.5781643,77.2629679,Indian Restaurant
28.57721765,77.26269701,Angels In My Kitchen,28.57488569,77.25858721,Bakery
28.58316147,77.18615942,The Potbelly,28.58379635,77.18782846,Northeast Indian Restaurant
28.58316147,77.18615942,Jamavar Kashmiri Restaurant @ The Leela,28.58014279,77.18926702,Indian Restaurant
28.58316147,77.18615942,Le Cirque,28.57975791,77.18937426,French Restaurant
28.58316147,77.18615942,The Qube,28.58016234,77.18927013,Breakfast Spot
28.58316147,77.18615942,Megu,28.58027313,77.18976805,Japanese Restaurant
28.58316147,77.18615942,Tamil Nadu House Canteen,28.58311193,77.19103326,Indian Restaurant
28.58316147,77.18615942,Viva O Viva,28.58352293,77.18845739,Seafood Restaurant
28.58316147,77.18615942,M K T,28.584156,77.190506,Restaurant
28.58316147,77.18615942,Kishan Pal Tea Stall,28.58374,77.190743,Snack Place
28.58316147,77.18615942,The Lobby Lounge,28.57998202,77.18929409,Café
28.58306249,77.19229064,Jamavar Kashmiri Restaurant @ The Leela,28.58014279,77.18926702,Indian Restaurant
28.58306249,77.19229064,Bikanervala,28.58539416,77.19142817,Indian Restaurant
28.58306249,77.19229064,Chimney Sizzlers,28.58425712,77.19172105,Chinese Restaurant
28.58306249,77.19229064,Tamil Nadu House Canteen,28.58311193,77.19103326,Indian Restaurant
28.58306249,77.19229064,The Potbelly,28.58379635,77.18782846,Northeast Indian Restaurant
28.58306249,77.19229064,Le Cirque,28.57975791,77.18937426,French Restaurant
28.58306249,77.19229064,The Qube,28.58016234,77.18927013,Breakfast Spot
28.58306249,77.19229064,Megu,28.58027313,77.18976805,Japanese Restaurant
28.58306249,77.19229064,Yashwant Place,28.58432886,77.1917087,Indian Restaurant
28.58306249,77.19229064,Viva O Viva,28.58352293,77.18845739,Seafood Restaurant
